rank,ticker,date,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
1,MU,2026-09-14,975.26,0.0702,-0.0205,1.4074,5.4875,0.8143,-0.391,-0.1962,6.5454,-2.1378,2.2038
2,INTC,2026-09-14,102.94,0.0197,-0.1199,1.2749,3.1829,0.7965,-0.419,-0.2696,3.621,-2.0488,0.7861
3,AMD,2026-09-14,516.13,0.0687,0.0567,1.6101,2.3155,0.7182,-0.2776,-0.1115,2.5204,-1.657,0.4317
4,AAPL,2026-09-14,332.27,0.0993,0.1249,0.3015,0.4498,0.2508,-0.138,-0.0221,0.1529,0.6817,0.4173
5,GOOGL,2026-09-14,338.5,-0.014,-0.0533,0.1165,0.4119,0.3158,-0.2105,-0.1582,0.1048,0.3565,0.2307
6,TXN,2026-09-14,268.7,-0.0285,-0.091,0.4283,0.4953,0.4247,-0.2337,-0.1872,0.2107,-0.1884,0.0111
7,AMZN,2026-09-14,256.78,-0.0393,0.0632,0.2255,0.1167,0.3434,-0.2174,-0.0959,-0.2698,0.2184,-0.0257
8,NVDA,2026-09-14,218.29,-0.0248,0.0667,0.1947,0.235,0.3803,-0.2021,-0.0719,-0.1196,0.0338,-0.0429
9,MSFT,2026-09-14,495.63,0.0084,0.2721,0.2383,-0.0026,0.3248,-0.345,-0.0781,-0.4211,0.3115,-0.0548
10,META,2026-09-14,648.03,0.1195,0.1411,0.0172,-0.1342,0.3947,-0.3246,-0.1667,-0.5881,-0.0383,-0.3132
11,AVGO,2026-09-14,361.99,-0.1299,-0.0597,0.0814,0.0139,0.4621,-0.2867,-0.2471,-0.4002,-0.3755,-0.3879
12,CRM,2026-09-14,247.72,0.2814,0.4883,0.2494,0.0144,0.4724,-0.4333,-0.0648,-0.3996,-0.4271,-0.4133
13,ADBE,2026-09-14,252.23,-0.0252,0.1528,-0.0651,-0.2805,0.4021,-0.4737,-0.3136,-0.7738,-0.0753,-0.4245
14,TSLA,2026-09-14,365.44,0.1158,-0.0845,-0.0749,-0.0091,0.4717,-0.391,-0.254,-0.4294,-0.4236,-0.4265
15,QCOM,2026-09-14,181.97,0.122,-0.0985,0.4002,0.1501,0.5259,-0.4098,-0.2684,-0.2274,-0.6948,-0.4611
16,SNOW,2026-09-14,328.99,-0.0098,0.3686,0.8561,0.4652,0.6534,-0.563,-0.0771,0.1725,-1.3327,-0.5801
17,PLTR,2026-09-14,167.23,-0.0223,0.2758,0.0894,0.0175,0.6088,-0.4822,-0.1928,-0.3956,-1.1096,-0.7526
18,NOW,2026-09-14,132.53,0.0607,0.2857,0.1731,-0.2938,0.5687,-0.5682,-0.3106,-0.7907,-0.9089,-0.8498
19,ORCL,2026-09-14,150.28,-0.0196,-0.1809,-0.0492,-0.5063,0.5704,-0.6456,-0.5368,-1.0603,-0.9174,-0.9889
